Model: gemma_7b-instruct
Dataset: CNNDM.json
Temperature: 0.1
Total inference time: 42554.37 seconds
Average inference time per article: 21.1 seconds
Inference times per article:
Article 224: 27.25 seconds
Article 225: 22.25 seconds
Article 226: 3.37 seconds
Article 227: 17.59 seconds
Article 228: 18.29 seconds
Article 229: 28.49 seconds
Article 230: 22.69 seconds
Article 231: 29.37 seconds
Article 232: 36.26 seconds
Article 233: 19.87 seconds
Article 234: 7.65 seconds
Article 235: 33.29 seconds
Article 236: 22.05 seconds
Article 237: 23.21 seconds
Article 238: 26.09 seconds
Article 239: 5.05 seconds
Article 240: 10.93 seconds
Article 241: 26.81 seconds
Article 242: 8.37 seconds
Article 243: 37.18 seconds
Article 244: 16.79 seconds
Article 245: 11.24 seconds
Article 246: 16.65 seconds
Article 247: 32.55 seconds
Article 248: 8.28 seconds
Article 249: 32.55 seconds
Article 250: 19.19 seconds
Article 251: 29.88 seconds
Article 252: 12.71 seconds
Article 253: 20.33 seconds
Article 254: 30.98 seconds
Article 255: 11.19 seconds
Article 256: 20.80 seconds
Article 257: 14.56 seconds
Article 258: 23.73 seconds
Article 259: 30.64 seconds
Article 260: 25.29 seconds
Article 261: 22.75 seconds
Article 262: 17.39 seconds
Article 263: 19.85 seconds
Article 264: 32.36 seconds
Article 265: 0.18 seconds
Article 266: 3.86 seconds
Article 267: 7.98 seconds
Article 268: 21.99 seconds
Article 269: 13.39 seconds
Article 270: 22.40 seconds
Article 271: 14.63 seconds
Article 272: 12.56 seconds
Article 273: 33.55 seconds
Article 274: 27.51 seconds
Article 275: 27.17 seconds
Article 276: 15.08 seconds
Article 277: 28.38 seconds
Article 278: 7.97 seconds
Article 279: 29.80 seconds
Article 280: 17.60 seconds
Article 281: 40.94 seconds
Article 282: 25.79 seconds
Article 283: 9.43 seconds
Article 284: 22.40 seconds
Article 285: 19.50 seconds
Article 286: 20.21 seconds
Article 287: 16.60 seconds
Article 288: 25.83 seconds
Article 289: 21.61 seconds
Article 290: 16.29 seconds
Article 291: 13.79 seconds
Article 292: 16.90 seconds
Article 293: 27.50 seconds
Article 294: 21.77 seconds
