Model: Mixtral-8x7B-Instruct
Dataset: CNNDM.json
Temperature: 0.1
Total inference time: 63261.63 seconds
Average inference time per article: 31.5 seconds
Inference times per article:
Article 223: 41.79 seconds
Article 224: 30.81 seconds
Article 225: 33.22 seconds
Article 226: 35.93 seconds
Article 227: 30.96 seconds
Article 228: 39.80 seconds
Article 229: 35.81 seconds
Article 230: 34.46 seconds
Article 231: 23.54 seconds
Article 232: 19.01 seconds
Article 233: 22.28 seconds
Article 234: 32.43 seconds
Article 235: 31.26 seconds
Article 236: 25.77 seconds
Article 237: 51.26 seconds
Article 238: 20.45 seconds
Article 239: 40.80 seconds
Article 240: 53.31 seconds
Article 241: 19.21 seconds
Article 242: 27.32 seconds
Article 243: 34.60 seconds
Article 244: 29.04 seconds
Article 245: 18.73 seconds
Article 246: 33.28 seconds
Article 247: 27.03 seconds
Article 248: 41.10 seconds
Article 249: 45.26 seconds
Article 250: 15.50 seconds
Article 251: 30.57 seconds
Article 252: 11.10 seconds
Article 253: 37.17 seconds
Article 254: 31.09 seconds
Article 255: 11.46 seconds
Article 256: 19.18 seconds
Article 257: 20.08 seconds
Article 258: 41.00 seconds
Article 259: 29.72 seconds
Article 260: 16.89 seconds
Article 261: 28.60 seconds
Article 262: 33.48 seconds
Article 263: 19.39 seconds
Article 264: 14.91 seconds
Article 265: 29.05 seconds
Article 266: 22.61 seconds
Article 267: 42.14 seconds
Article 268: 27.54 seconds
Article 269: 46.27 seconds
Article 270: 42.40 seconds
Article 271: 55.04 seconds
Article 272: 46.10 seconds
Article 273: 52.08 seconds
Article 274: 20.19 seconds
Article 275: 27.42 seconds
Article 276: 37.20 seconds
Article 277: 40.04 seconds
Article 278: 29.22 seconds
Article 279: 19.39 seconds
Article 280: 38.04 seconds
Article 281: 12.00 seconds
Article 282: 47.62 seconds
Article 283: 22.42 seconds
Article 284: 37.82 seconds
Article 285: 22.58 seconds
Article 286: 50.93 seconds
Article 287: 39.13 seconds
Article 288: 35.43 seconds
Article 289: 25.69 seconds
Article 290: 20.81 seconds
Article 291: 43.22 seconds
Article 292: 37.26 seconds
Article 293: 36.33 seconds
Article 294: 29.39 seconds
Article 295: 43.88 seconds
Article 296: 40.80 seconds
Article 297: 11.07 seconds
Article 298: 23.41 seconds
Article 299: 50.81 seconds
Article 300: 30.80 seconds
Article 301: 39.53 seconds
Article 302: 43.26 seconds
Article 303: 46.80 seconds
Article 304: 51.67 seconds
Article 305: 35.10 seconds
Article 306: 30.85 seconds
Article 307: 30.08 seconds
Article 308: 29.33 seconds
Article 309: 25.17 seconds
Article 310: 37.44 seconds
Article 311: 41.60 seconds
Article 312: 46.11 seconds
Article 313: 39.72 seconds
Article 314: 34.59 seconds
Article 315: 11.79 seconds
Article 316: 27.34 seconds
Article 317: 36.34 seconds
Article 318: 30.44 seconds
Article 319: 28.59 seconds
Article 320: 26.30 seconds
Article 321: 35.46 seconds
Article 322: 25.86 seconds
Article 323: 36.61 seconds
Article 324: 31.72 seconds
Article 325: 29.89 seconds
Article 326: 41.82 seconds
Article 327: 42.57 seconds
Article 328: 46.22 seconds
Article 329: 30.21 seconds
