Model: gemma_7b-instruct
Dataset: SAMSum.json
Temperature: 0.1
Total inference time: 21681.65 seconds
Average inference time per article: 10.2 seconds
Inference times per article:
Article 224: 2.99 seconds
Article 225: 0.17 seconds
Article 226: 0.00 seconds
Article 227: 7.14 seconds
Article 228: 2.56 seconds
Article 229: 20.32 seconds
Article 230: 2.44 seconds
Article 231: 0.87 seconds
Article 232: 17.31 seconds
Article 233: 32.58 seconds
Article 234: 24.33 seconds
Article 235: 12.51 seconds
Article 236: 7.63 seconds
Article 237: 0.00 seconds
Article 238: 22.85 seconds
Article 239: 13.96 seconds
Article 240: 2.54 seconds
Article 241: 0.00 seconds
Article 242: 15.34 seconds
Article 243: 0.53 seconds
Article 244: 24.16 seconds
Article 245: 21.32 seconds
Article 246: 3.87 seconds
Article 247: 12.72 seconds
Article 248: 2.69 seconds
Article 249: 1.98 seconds
Article 250: 15.97 seconds
Article 251: 7.87 seconds
Article 252: 10.89 seconds
Article 253: 14.86 seconds
Article 254: 1.07 seconds
Article 255: 35.02 seconds
Article 256: 12.35 seconds
Article 257: 25.98 seconds
Article 258: 0.00 seconds
Article 259: 48.92 seconds
Article 260: 15.05 seconds
Article 261: 25.96 seconds
Article 262: 9.55 seconds
Article 263: 28.31 seconds
Article 264: 0.00 seconds
Article 265: 28.29 seconds
Article 266: 9.33 seconds
Article 267: 10.22 seconds
Article 268: 5.84 seconds
Article 269: 9.86 seconds
Article 270: 9.08 seconds
Article 271: 12.96 seconds
Article 272: 0.53 seconds
Article 273: 16.53 seconds
Article 274: 15.49 seconds
Article 275: 23.46 seconds
Article 276: 1.89 seconds
Article 277: 16.47 seconds
Article 278: 12.49 seconds
Article 279: 7.51 seconds
Article 280: 0.26 seconds
Article 281: 0.00 seconds
Article 282: 9.04 seconds
Article 283: 0.00 seconds
Article 284: 7.86 seconds
Article 285: 11.77 seconds
Article 286: 12.01 seconds
Article 287: 0.00 seconds
Article 288: 0.00 seconds
Article 289: 5.40 seconds
Article 290: 31.28 seconds
Article 291: 7.19 seconds
Article 292: 1.03 seconds
Article 293: 18.01 seconds
Article 294: 1.50 seconds
Article 295: 2.33 seconds
Article 296: 23.63 seconds
Article 297: 15.87 seconds
Article 298: 2.68 seconds
Article 299: 7.75 seconds
Article 300: 1.02 seconds
Article 301: 28.04 seconds
Article 302: 13.81 seconds
Article 303: 29.19 seconds
Article 304: 8.93 seconds
Article 305: 23.26 seconds
Article 306: 0.00 seconds
Article 307: 9.39 seconds
Article 308: 16.57 seconds
Article 309: 0.00 seconds
Article 310: 16.80 seconds
Article 311: 10.17 seconds
Article 312: 0.00 seconds
Article 313: 14.03 seconds
Article 314: 26.15 seconds
Article 315: 23.02 seconds
Article 316: 14.75 seconds
Article 317: 5.17 seconds
Article 318: 14.00 seconds
Article 319: 0.00 seconds
Article 320: 19.48 seconds
Article 321: 14.31 seconds
Article 322: 14.59 seconds
Article 323: 0.35 seconds
Article 324: 0.00 seconds
Article 325: 13.35 seconds
Article 326: 0.00 seconds
Article 327: 20.66 seconds
Article 328: 0.00 seconds
Article 329: 23.70 seconds
Article 330: 0.00 seconds
Article 331: 10.55 seconds
Article 332: 14.95 seconds
Article 333: 15.88 seconds
Article 334: 17.88 seconds
Article 335: 3.15 seconds
Article 336: 6.07 seconds
Article 337: 22.51 seconds
Article 338: 26.42 seconds
Article 339: 0.00 seconds
Article 340: 20.24 seconds
Article 341: 0.00 seconds
Article 342: 1.67 seconds
Article 343: 25.16 seconds
Article 344: 16.44 seconds
Article 345: 16.86 seconds
Article 346: 0.00 seconds
Article 347: 9.82 seconds
Article 348: 0.00 seconds
Article 349: 19.01 seconds
Article 350: 3.98 seconds
Article 351: 3.43 seconds
Article 352: 9.55 seconds
Article 353: 14.88 seconds
Article 354: 18.62 seconds
Article 355: 6.15 seconds
Article 356: 15.17 seconds
Article 357: 0.00 seconds
Article 358: 2.10 seconds
Article 359: 0.00 seconds
Article 360: 23.39 seconds
Article 361: 0.00 seconds
Article 362: 7.84 seconds
Article 363: 0.00 seconds
Article 364: 32.02 seconds
Article 365: 14.28 seconds
Article 366: 6.82 seconds
Article 367: 1.69 seconds
Article 368: 33.57 seconds
